period,indicator,city,环比,同比
2024-02,二手住宅销售价格指数,武汉,98.5,92.4
2024-02,新建商品住宅销售价格指数,武汉,99.5,98.4
2024-03,二手住宅销售价格指数,武汉,99.1,91.1
2024-03,新建商品住宅销售价格指数,武汉,99.2,96.4
2024-04,二手住宅销售价格指数,武汉,98.5,89.4
2024-04,新建商品住宅销售价格指数,武汉,99,94.8
2024-05,二手住宅销售价格指数,武汉,98.7,88.7
2024-05,新建商品住宅销售价格指数,武汉,98.5,93.2
2024-06,二手住宅销售价格指数,武汉,98.1,87.5
2024-06,新建商品住宅销售价格指数,武汉,98.9,92.1
2024-07,二手住宅销售价格指数,武汉,98.4,86.6
2024-07,新建商品住宅销售价格指数,武汉,99.6,91.9
2024-08,二手住宅销售价格指数,武汉,99.3,86.7
2024-08,新建商品住宅销售价格指数,武汉,99.2,91.6
2024-09,二手住宅销售价格指数,武汉,99.6,86.8
2024-09,新建商品住宅销售价格指数,武汉,98.7,90.7
2024-10,二手住宅销售价格指数,武汉,100.1,87.1
2024-10,新建商品住宅销售价格指数,武汉,99,89.9
2024-11,二手住宅销售价格指数,武汉,99.8,88.1
2024-11,新建商品住宅销售价格指数,武汉,100.4,90.6
2024-12,二手住宅销售价格指数,武汉,100.2,89.7
2024-12,新建商品住宅销售价格指数,武汉,100.4,92
2025-01,二手住宅销售价格指数,武汉,99.5,90.1
2025-01,新建商品住宅销售价格指数,武汉,100.5,93.1
2025-02,二手住宅销售价格指数,武汉,99.4,91
2025-02,新建商品住宅销售价格指数,武汉,99.7,93.3
2025-03,二手住宅销售价格指数,武汉,99.9,91.7
2025-03,新建商品住宅销售价格指数,武汉,100.1,94.2
2025-04,二手住宅销售价格指数,武汉,99.6,92.7
2025-04,新建商品住宅销售价格指数,武汉,99.8,95
2025-05,二手住宅销售价格指数,武汉,99,93
2025-05,新建商品住宅销售价格指数,武汉,99.3,95.8
2025-06,二手住宅销售价格指数,武汉,99.1,93.9
2025-06,新建商品住宅销售价格指数,武汉,99.9,96.8
2025-07,二手住宅销售价格指数,武汉,98.9,94.4
2025-07,新建商品住宅销售价格指数,武汉,99.3,96.4
2025-08,二手住宅销售价格指数,武汉,99.1,94.2
2025-08,新建商品住宅销售价格指数,武汉,99.5,96.7
2025-09,二手住宅销售价格指数,武汉,99.1,93.7
2025-09,新建商品住宅销售价格指数,武汉,99.6,97.5
2025-10,二手住宅销售价格指数,武汉,99.3,93.1
2025-10,新建商品住宅销售价格指数,武汉,99.4,97.9
2025-11,二手住宅销售价格指数,武汉,99,92.3
2025-11,新建商品住宅销售价格指数,武汉,99.5,97
2025-12,二手住宅销售价格指数,武汉,98.8,91
2025-12,新建商品住宅销售价格指数,武汉,100,96.6
2026-01,二手住宅销售价格指数,武汉,99.4,90.8
2026-01,新建商品住宅销售价格指数,武汉,100.1,96.2
